symbol,analyzed_at,article_count,average_sentiment,sentiment_trend,momentum,confidence,recommendation,positive_articles,negative_articles,neutral_articles
AAPL,2026-07-16T18:52:34.488057,20,0.1141,slightly_bullish,-0.0125,0.8359,mixed_signals,8,0,12
MSFT,2026-07-16T18:52:34.506276,20,0.1141,slightly_bullish,0.0,0.8359,mixed_signals,8,0,12
GOOGL,2026-07-16T18:52:34.525741,20,0.1141,slightly_bullish,-0.0,0.8359,mixed_signals,8,0,12
AMZN,2026-07-16T18:52:34.540396,20,0.1141,slightly_bullish,0.0482,0.8359,positive_momentum,8,0,12
META,2026-07-16T18:52:34.606231,20,0.1141,slightly_bullish,-0.0268,0.8359,mixed_signals,8,0,12
NVDA,2026-07-16T18:52:34.619096,20,0.1141,slightly_bullish,-0.1018,0.8359,mixed_signals,8,0,12
TSLA,2026-07-16T18:52:34.631263,20,0.1141,slightly_bullish,0.1219,0.8359,positive_momentum,8,0,12
JPM,2026-07-16T18:52:34.643168,20,0.1141,slightly_bullish,-0.0117,0.8359,mixed_signals,8,0,12
V,2026-07-16T18:52:34.655354,20,0.1141,slightly_bullish,0.1135,0.8359,positive_momentum,8,0,12
JNJ,2026-07-16T18:52:34.667491,20,0.1141,slightly_bullish,-0.0482,0.8359,mixed_signals,8,0,12
